resource_id,primary_secondary,author,year,title,resource_type,doi_ISBN,resource_journal,resource_volume_pages
r246,primary,"Cupido, R., Cocito, S., Manno, V., Ferrando, S., Peirano, A., Iannelli, M., ... & Santangelo, G.",2014,"Sexual structure of a highly reproductive, recovering gorgonian population: quantifying reproductive output ",article,10.3354/meps09976 ,Mar. Ecol. Prog. Ser.,469:25-36
r247,primary,"Coma, R., & Lasker, H. R.",1997,Effects of Spatial Distribution and Reproductive Biology on in situ Fertilization Rates of a Broadcast-Spawning Invertebrate,article,10.2307/1542733,Biol Bull,"193,1"
r248,primary,"Rossi, S., & Gili, J. M.",2009,"Reproductive features and gonad development cycle of the soft bottom-gravel gorgonian Leptogorgia sarmentosa (Esper, 1791) in the NW Mediterranean Sea",article,10.1080/07924259.2009.9652304,Invertebrate Reproduction and Development,53(4): 175-190
r249,primary,"Benayahu, Y & Loya, Y.",1985,Settlement and recruitment of a soft coral: why is Xenia macrospiculata a successful colonizer?,article,,Bull Mar Sci ,"36, 1,  pp. 177-188(12)"
r250,primary,"De Putron, S. J., & Ryland, J. S.",2009,Effect of seawater temperature on reproductive seasonality and fecundity of Pseudoplexaura porosa (Cnidaria: Octocorallia): latitudinal variation in Caribbean gorgonian reproduction,article,10.1111/j.1744-7410.2009.00170.x,Biol Bull,"128(3),213-222"
r251,primary,"Heidari, F. & Salamat, N.",2012,Artificial Reproduction of Octocoral (Plumarella flabellata) ,article,,Pakistan Veterinary Journal,32(3): 403-407 
r252,primary,"Hamel, J. F., Wareham-Hayes, V. E., & Mercier, A.",2020,Reproduction of a bathyal pennatulacean coral in the Canadian Arctic,article,10.1016/j.dsr.2020.103321,Deep Sea Research Part I: Oceanographic Research Papers.,"162, 103321"
r254,primary,"Hellström, M., Kavanagh, K.D. & Benzie J.A.H.",2010,"Multiple spawning events and sexual reproduction in the octocoral Sarcophyton elegans (Cnidaria: Alcyonacea) on Lizard Island, Great Barrier Reef",article,10.1007/s00227-009-1325-8,Mar Biol,157(2):383-392
r255,primary,"Rakka, M., Sampaio, I., Colaco, A., & Carreiro-Silva, M.",2021,Reproductive biology of two deep-sea octocorals in the Azores Archipelago,article,10.1016/j.dsr.2021.103587,Deep Sea Research Part I: Oceanographic Research Papers.,"175, 103587"
r256,primary,"Rossin, A.M., Waller, R.G. & Forsterra, G",2017,"Reproduction of the cold-water coral Primnoella chilensis (Philippi, 1894)",article,10.1016/j.csr.2017.06.010,Continent. Shelf Res,"144, 31–37. "
